Semester,week,day,meal,dining_hall,recipe,Ingredient,Category,percent_meat,meat_price_per_dish,Expected_lb_meat_portion,oz_meat_per_dish,Conventional_price_lb,Sustainable_price_lb,Default_sus,portion_size_oz,planned_portions,planned_weight_lbs,cost_recipe_per_portion
SP26,4,Sunday,Dinner,C3,Beef Sirloin Fajita (HS) HALAL,Beef Stir-Fry Cut (HS) Halal,Beef,0.63,1.05,0.13,2,,8.43,Yes,3.18,"2,400.00",477.3,1.35
F25,4,Sunday,Dinner,C3,Beef Sirloin Fajita (HS) HALAL,Beef Stir-Fry Cut (HS) Halal,Beef,0.63,1.05,0.13,2,,8.43,Yes,3.18,"2,400.00",477.3,1.29
SP26,1,Monday,Dinner,XRDS,Stew Pork Filipino Adobo,Pork Stew Cut,Pork,0.78,1.13,0.24,3.84,4.69,4.62,No,4.9,"2,000.00",612.87,1.24
SP26,3,Thursday,Dinner,XRDS,Meatloaf Beef Glazed Baked HALAL,Beef Ground HALAL,Beef,0.35,0.48,0.13,2.13,3.61,0,No,6.13,"2,000.00",766.64,0.86
SP26,3,Tuesday,Dinner,XRDS,Chicken Thigh Huli Huli Grilled HALAL,Chicken Thigh Bone In HALAL,Chicken,0.84,0.28,0.2,3.2,1.41,,No,3.79,"2,000.00",474.31,1.36
F25,3,Monday,Dinner,C3,Beef Bulgogi HALAL,Beef Sirloin Philly Sliced HALAL,Beef,0.82,1.29,0.15,2.45,,8.43,Yes,3,"2,000.00",375,0.49
SP26,3,Tuesday,Dinner,C3,Chicken Szechuan HALAL,Chicken Diced Dark Meat HALAL,Chicken,0.44,0.58,0.16,2.56,3.64,,No,5.84,"1,880.00",686.06,1.75
F25,3,Tuesday,Dinner,C3,Chicken Szechuan HALAL,Chicken Diced Dark Meat HALAL,Chicken,0.44,0.58,0.16,2.56,3.64,,No,5.84,"1,880.00",686.06,1.31
SP26,4,Monday,Dinner,XRDS,Stew Beef Burgundy,Beef Stew Cut,Beef,0.58,2.14,0.24,3.84,8.92,,No,6.63,"1,800.00",746.2,2.5
SP26,4,Thursday,Dinner,C3,Beef Bulgogi HALAL,Beef Sirloin Philly Sliced HALAL,Beef,0.82,1.71,0.2,3.25,,8.43,Yes,3.98,"1,725.00",429.28,2.12
F25,4,Thursday,Dinner,C3,Beef Bulgogi,Beef Sirloin Philly Sliced HALAL,Beef,0.76,1.58,0.19,3,,8.43,Yes,3.96,"1,725.00",426.63,2.23
SP26,2,Wednesday,Dinner,C3,Chicken Tenders Fried (HS) Halal,Chicken Tenderloin Breaded (HS) Halal,Chicken,0.96,1.16,0.25,4.04,4.6,,No,4.22,"1,708.00",450.1,1.17
F25,2,Wednesday,Dinner,C3,Chicken Tenders Fried (HS) Halal,Chicken Tenderloin Breaded (HS) Halal,Chicken,0.96,1.16,0.25,4.04,4.6,,No,4.22,"1,708.00",450.1,1.17
SP26,3,Tues,Lunch,XRDS,Beef Tri Tip Achiote Crusted Roasted HALAL,Beef Tri Tip HALAL,Beef,0.88,0.05,0.24,3.84,0.2,,No,4.37,"1,700.00",463.8,0.1
SP26,1,Thursday,Lunch,C3,Beef Broccoli Stir Fry (HS) HALAL,Beef Stir-Fry Cut (HS) Halal,Beef,0.33,0.65,0.08,1.23,,8.43,Yes,3.79,"1,691.00",400.04,1.01
F25,1,Thursday,Lunch,C3,Beef Broccoli Stir Fry (HS) HALAL,Beef Stir-Fry Cut (HS) Halal,Beef,0.33,0.65,0.08,1.23,,8.43,Yes,3.79,"1,691.00",400.04,1
