New_SP26,Recipe,Ingredient,Percent_dish_meat,Meat_ingr_conventional_price_lb,Meat_ingr_sustainable_price_lb,Default_sus
Yes,Beef Bibimbap 2,Beef Sirloin Stir-Fry Cut,0.16,8.35,,No
Yes,Taco Beef Carne Asada,Beef Carne Asada Diced 1/4 Fully Cooked,0.54,8.46,,No
Yes,Taco Beef Birria with Broth,Beef Ground HALAL,0.29,3.61,,No
Yes,Chicken Tenders Korean BBQ,Chicken Tenderloin Breaded Precooked,0.80,0.97,,No
Yes,Chicken Corn Tortilla Baked Red Sauce Enchiladas,Chicken Thigh Boneless Precooked,0.37,5.78,,No
Yes,Pork Pulled BBQ Housemade,Pork Butt Boneless,0.82,3.25,,No
No,Stew Beef Haneeth Yemeni KOSHER,Beef Stew Cut KOSHER,0.81,10.99,,No
No,Cod Breaded Fried with Tartar Sauce,Cod Fillet Breaded,0.86,9.91,,No
No,Beef Java Curry,Beef Stew Cut,0.36,8.92,,No
No,Stew Beef Burgundy,Beef Stew Cut,0.58,8.92,,No
No,Stew Beef Haneeth Yemeni,Beef Stew Cut,0.81,8.92,,No
No,Stew Beef Kaldretta Filipino,Beef Stew Cut,0.42,8.92,,No
No,Stew Beef Rendang,Beef Stew Cut,0.66,8.92,,No
No,Stew Beef Siga Tibs,Beef Stew Cut,0.50,8.92,,No
No,Beef Carne Asada Diced Precooked,Beef Carne Asada Diced 1/4 Fully Cooked,1.00,8.46,,No
No,Beef Broccoli Stir Fry,Beef Sirloin Stir-Fry Cut,0.33,8.35,,No
No,Beef Bulgogi Sauteed,Beef Sirloin Stir-Fry Cut,0.87,8.35,,No
No,Beef Carne Asada Housemade,Beef Sirloin Stir-Fry Cut,0.94,8.35,,No
No,Beef Iskender Kebap Seared,Beef Sirloin Stir-Fry Cut,0.48,8.35,,No
No,Beef Lomo Saltado Stir Fry 2,Beef Sirloin Stir-Fry Cut,0.30,8.35,,No
No,Cod Lemon Butter Baked,Cod Fillet,0.78,7.48,,No
No,Cod Moroccan Coulis Baked,Cod Fillet,0.84,7.48,,No
No,Beef Barbacoa Prepared,Beef Barbacoa Precooked,1.00,7.16,,No
No,Rockfish Ginger Steamed HALAL,Rockfish Fillet,0.66,6.90,7.69,Yes
No,Rockfish Pepper Cilantro Pesto Baked,Rockfish Fillet,0.93,6.90,7.69,Yes
No,Rockfish Piccata Baked,Rockfish Fillet,0.77,6.90,7.69,Yes
No,Rockfish Teriyaki Baked HALAL,Rockfish Fillet,0.95,6.90,7.69,Yes
No,Rockfish Veracruz Baked KOSHER,Rockfish Fillet,0.83,6.90,7.69,Yes
No,Turkey Breast Herb Roasted,Turkey Breast Boneless Skin On,0.53,6.60,,No
No,Catfish Blackened,Catfish Fillet,0.82,6.03,,No
No,Chicken Butter,Chicken Thigh Boneless Precooked,0.65,5.78,,No
No,Chicken Fire Braised Precooked,Chicken Thigh Boneless Precooked,1.00,5.78,,No
No,Chicken Thigh Tinga Precooked,Chicken Thigh Boneless Precooked,0.88,5.78,,No
No,Pork Carnitas,Pork Carnitas Precooked,0.75,5.75,,No
No,Grits Cheesy Shrimp,Shrimp 26/30,0.23,5.69,,No
No,Meatballs Beef Swedish With Gravy,Beef Meatball Precooked,0.64,5.64,,No
No,Ceviche Shrimp Mexican,Shrimp 31/40,0.32,5.59,,No
No,Shrimp Thai Curry,Shrimp 31/40,0.63,5.59,,No
No,Shrimp Vindaloo MONSOON,Shrimp 31/40,0.43,5.59,,No
No,Taco Fish Baja,Pollock Fillet Breaded,0.27,5.08,,No
No,Chicken Breast Cacciatore Seared,Chicken Breast B/S Raw 4 oz,0.73,4.94,6.93,No
No,Chicken Breast Herb Grilled,Chicken Breast B/S Raw 4 oz,0.94,4.94,6.93,No
No,Chicken Breast Parmesan Baked,Chicken Breast B/S Raw 4 oz,0.46,4.94,6.93,No
Yes,Sausage Pork Link,Sausage Breakfast Pork Link,1.00,4.81,,No
No,Pork Chile Verde,Pork Stew Cut,0.78,4.69,4.62,No
No,Pork Sweet and Sour,Pork Stew Cut,0.65,4.69,4.62,No
No,Pozole Pork,Pork Stew Cut,0.21,4.69,4.62,No
No,Stew Pork Filipino Adobo,Pork Stew Cut,0.78,4.69,4.62,No
No,Chicken Tenders Fried (HS) Halal,Chicken Tenderloin Breaded (HS) Halal,0.96,4.60,,No
No,Shrimp Taco Filling Battered Fried,Shrimp Breaded PopCorn Style,0.97,4.59,,No
No,Chicken Orange Mandarin,Chicken Mandarin Orange with Sauce,0.93,4.39,,No
No,Pork Ham Pineapple Glaze Baked,Pork Ham Boneless,0.86,4.30,,No
Yes,Turkey Breast Cajun Smoked,Turkey Breast,0.79,4.29,,No
No,Chicken Breast Chipotle (HS) HALAL,Chicken Breast B/S Raw (HS) HALAL,0.95,4.09,,No
Yes,Chicken Coconut Curry Pulled Precooked,Chicken Pulled Precooked,0.76,4.08,,No
No,Chicken Thigh Tikka Masala,Chicken Diced Meat Precooked,0.65,4.02,,No
No,Stew Chicken Thigh Adobo (HS) HALAL,Chicken Thigh (HS) HALAL,0.82,3.98,,No
No,Chicken Szechuan HALAL,Chicken Diced Dark Meat HALAL,0.44,3.64,,No
No,Chicken Tikka Masala HALAL,Chicken Diced Dark Meat HALAL,0.61,3.64,,No
