ingredient,category,percent_dish_meat,meat_price_per_dish,expected_lb_meat_portion,oz_meat_per_dish,conventional_price_lb,sustainable_price_lb,default_sus,portion_size_oz,expected_portions,planned_weight_lbs,cost_recipe_per_portion,conventional_ghg_per_lb,baseline_freq,default_sus_clean
Beef Ground HALAL,Beef,0.5633333333333334,0.5766666666666667,0.16111111111111112,2.5411111111111113,3.61,0,No,4.902222222222222,1018.2222222222222,332.5777777777778,0.9155555555555556,41.34628634,9,no
Beef Sirloin Philly Sliced HALAL,Beef,0.7999999999999999,1.5266666666666666,0.18,2.9,NA,8.43,Yes,3.6466666666666665,1816.6666666666667,410.30333333333334,1.6133333333333333,41.34628634,3,yes
Beef Stew Cut,Beef,0.36,1.11,0.12,2,8.92,NA,No,5.49,1200,411.63,1.06,41.34628634,1,no
Beef Stew Cut (HS) Halal,Beef,0.66,2.02,0.24,3.84,NA,8.43,Yes,5.8,750,272.07,2.83,41.34628634,2,yes
Beef Stir-Fry Cut (HS) Halal,Beef,0.6075,1.1325,0.1375,2.1525,NA,8.43,Yes,3.5425,1698.25,369.37,1.41875,41.34628634,8,yes
Beef Tri Tip HALAL,Beef,0.81,0.04,0.2,3.2,0.2,NA,No,3.97,1300,322.8,0.12,41.34628634,1,no
Chicken 8 Cut HALAL,Chicken,0.894,0.63,0.24,3.84,NA,2.62,Yes,4.308,1310,352.29,0.817,4.399609786,10,yes
Chicken Breast B/S Raw (HS) HALAL,Chicken,0.95,1.21,0.3,4.73,4.09,NA,No,5,1200,375,1.35,4.399609786,1,no
Chicken Breast B/S Raw HALAL,Chicken,0.5875,0.395,0.1925,3.0425,2.96,2.09,Yes,5.8475,1001.25,348.7425,1.6099999999999999,4.399609786,4,yes
Chicken Breast Fajita Cut HALAL,Chicken,0.49,0.64,0.2,3.22,3.19,NA,No,6.6,1500,619.2,1.1,4.399609786,2,no
Chicken Diced Dark Meat HALAL,Chicken,0.486,0.6819999999999999,0.188,3.008,3.64,NA,No,6.202,1307.8,498.404,1.354,4.399609786,5,no
Chicken Tenderloin Breaded (HS) Halal,Chicken,0.96,1.16,0.25,4.04,4.6,NA,No,4.22,1708,450.1,1.17,4.399609786,2,no
Chicken Thigh (HS) HALAL,Chicken,0.82,0.95,0.24,3.84,3.98,NA,No,4.67,1400,408.73,1.22,4.399609786,1,no
Chicken Thigh Bone In,Chicken,0.81,0.34,0.24,3.84,1.41,3.59,No,4.77,1400,417.27,0.49,4.399609786,1,no
Chicken Thigh Bone In HALAL,Chicken,0.84,0.32,0.22499999999999998,3.64,1.41,NA,No,4.32,1502.5,403.31,1.29,4.399609786,4,no
Chicken Thigh Boneless HALAL,Chicken,0.8376470588235294,0.49176470588235294,0.24705882352941178,3.9529411764705884,1.98,NA,No,4.714705882352941,1228.9411764705883,356.9605882352941,1.5288235294117647,4.399609786,17,no
Cod Fillet,Fish,0.78,1.87,0.25,4,7.48,NA,No,5.11,1000,319.68,1.89,4.979783836,2,no
Cod Fillet Breaded,Fish,0.86,2.48,0.25,4,9.91,NA,No,4.68,1232,360.08,2.46,4.979783836,2,no
Rockfish Fillet,Fish,0.66,1.93,0.25,4.02,6.9,7.69,Yes,6.12,1000,382.71,2.165,4.979783836,2,yes
Salmon Fillet Standard,Fish,0.8866666666666666,1.99,0.24,3.84,NA,8.28,Yes,4.386666666666667,1266.6666666666667,342.50666666666666,1.52,4.979783836,3,yes
