scenario,category,ingredient,shortened_ingredient,default_sus,freq_baseline,freq_optimized,delta,baseline_cost_contribution,optimized_cost_contribution,baseline_sustainable_spend,optimized_sustainable_spend,baseline_ghg,optimized_ghg
s1_CKC,Beef,Beef Sirloin Stir-Fry Cut,Sirloin Stir-Fry Cut,No,4,2,-2,6.178999999999999,3.0894999999999997,0,0,30.596251891599998,15.298125945799999
s1_CKC,Beef,Beef Stew Cut,Stew Cut,No,5,3,-2,7.492800000000001,4.49568,0,0,34.7308805256,20.83852831536
s1_CKC,Beef,Beef Carne Asada Diced 1/4 Fully Cooked,Carne Asada Diced 1/4 Fully Cooked,No,2,1,-1,3.2148000000000003,1.6074000000000002,0,0,15.7115888092,7.8557944046
s1_CKC,Beef,Beef Ground HALAL,Ground HALAL,No,2,3,1,1.0830000000000002,1.6245000000000003,0,0,12.403885902,18.605828853000002
s1_CKC,Beef,Beef Meatball Precooked,Meatball Precooked,No,2,1,-1,2.82,1.41,0,0,20.67314317,10.336571585
s1_CKC,Beef,Beef Stir-Fry Cut (HS) Halal,Stir-Fry Cut (HS) Halal,Yes,2,3,1,2.5290000000000004,3.7935000000000008,2.5290000000000004,3.7935000000000008,12.403885902,18.605828853000002
s1_CKC,Beef,Beef Brisket Whole HALAL,Brisket Whole HALAL,Yes,1,1,0,1.3439999999999999,1.3439999999999999,1.3439999999999999,1.3439999999999999,9.9231087216,9.9231087216
s1_CKC,Beef,Beef Chicken Fried,Chicken Fried,No,1,1,0,0.08399999999999999,0.08399999999999999,0,0,9.9231087216,9.9231087216
s1_CKC,Beef,Beef Sirloin Philly Sliced HALAL,Sirloin Philly Sliced HALAL,Yes,1,1,0,1.0115999999999998,1.0115999999999998,1.0115999999999998,1.0115999999999998,4.9615543608,4.9615543608
s1_CKC,Beef,Beef Stew Cut KOSHER,Stew Cut KOSHER,No,1,1,0,2.7475,2.7475,0,0,10.336571585,10.336571585
s1_CKC,Chicken,Chicken 8 Cut HALAL,8 Cut HALAL,Yes,7,10,3,4.4016,6.288,4.4016,6.288,7.39134444048,10.5590634864
s1_CKC,Chicken,Chicken Thigh Boneless HALAL,Thigh Boneless HALAL,No,7,10,3,3.0294,4.327714285714286,0,0,6.731402972580001,9.616289960828572
s1_CKC,Chicken,Chicken Tenderloin Breaded Precooked,Tenderloin Breaded Precooked,No,4,6,2,0.97,1.455,0,0,4.399609786,6.599414679000001
s1_CKC,Chicken,Chicken Thigh Bone In HALAL,Thigh Bone In HALAL,No,4,6,2,1.3395,2.0092499999999998,0,0,4.1796292967,6.26944394505
s1_CKC,Chicken,Chicken Thigh Boneless Precooked,Thigh Boneless Precooked,No,4,2,-2,5.7222,2.8611,0,0,4.35561368814,2.17780684407
s1_CKC,Chicken,Chicken Breast B/S Raw 4 oz,Breast B/S Raw 4 oz,No,2,1,-1,1.9760000000000002,0.9880000000000001,0,0,1.7598439144000002,0.8799219572000001
