scenario,category,ingredient,shortened_ingredient,default_sus,freq_baseline,freq_optimized,delta,baseline_cost_contribution,optimized_cost_contribution,baseline_sustainable_spend,optimized_sustainable_spend,baseline_ghg,optimized_ghg
s3_XRDS,Beef,Beef Barbacoa Precooked,Barbacoa Precooked,No,4,2,-2,7.16,3.58,0,0,41.34628634,20.67314317
s3_XRDS,Beef,Beef Stir-Fry Cut (HS) Halal,Stir-Fry Cut (HS) Halal,Yes,4,6,2,6.153899999999999,9.230849999999998,6.153899999999999,9.230849999999998,30.1827890282,45.274183542299994
s3_XRDS,Beef,Beef Meatball Precooked,Meatball Precooked,No,3,2,-1,3.7223999999999995,2.4816,0,0,27.2885489844,18.1923659896
s3_XRDS,Beef,Beef Sirloin Philly Sliced HALAL,Sirloin Philly Sliced HALAL,Yes,2,3,1,3.2034,4.8050999999999995,3.2034,4.8050999999999995,15.7115888092,23.5673832138
s3_XRDS,Beef,Beef Sirloin Stir-Fry Cut,Sirloin Stir-Fry Cut,No,2,1,-1,1.67,0.835,0,0,8.269257268,4.134628634
s3_XRDS,Beef,Beef Stew Cut,Stew Cut,No,2,1,-1,4.1924,2.0962,0,0,19.432754579799997,9.716377289899999
s3_XRDS,Beef,Beef Chicken Fried,Chicken Fried,No,3,3,0,0.245,0.245,0,0,28.942400438,28.942400438
s3_XRDS,Beef,Beef Ground HALAL,Ground HALAL,No,1,1,0,0.4693,0.4693,0,0,5.3750172242,5.3750172242
s3_XRDS,Beef,Beef Tri Tip HALAL,Tri Tip HALAL,No,1,1,0,0.048,0.048,0,0,9.9231087216,9.9231087216
s3_XRDS,Chicken,Chicken 8 Cut HALAL,8 Cut HALAL,Yes,6,9,3,3.9038000000000004,5.855700000000001,3.9038000000000004,5.855700000000001,6.55541858114,9.83312787171
s3_XRDS,Chicken,Chicken Thigh Boneless HALAL,Thigh Boneless HALAL,No,6,9,3,2.5542,3.8312999999999997,0,0,5.67549662394,8.51324493591
s3_XRDS,Chicken,Chicken Breast Fajita Cut,Breast Fajita Cut,No,4,6,2,1.323,1.9845,0,0,1.84783611012,2.77175416518
s3_XRDS,Chicken,Chicken Tenderloin Breaded Precooked,Tenderloin Breaded Precooked,No,4,6,2,0.97,1.455,0,0,4.399609786,6.599414679000001
s3_XRDS,Chicken,Chicken Thigh Bone In HALAL,Thigh Bone In HALAL,No,4,6,2,1.3959,2.0938499999999998,0,0,4.35561368814,6.53342053221
s3_XRDS,Chicken,Chicken Thigh Boneless Precooked,Thigh Boneless Precooked,No,4,2,-2,5.4332,2.7166,0,0,4.13563319884,2.06781659942
s3_XRDS,Chicken,Chicken Breast B/S Raw 4 oz,Breast B/S Raw 4 oz,No,2,1,-1,2.3712,1.1856,0,0,2.11181269728,1.05590634864
s3_XRDS,Chicken,Chicken Diced Meat Precooked,Diced Meat Precooked,No,2,1,-1,1.6079999999999999,0.8039999999999999,0,0,1.7598439144000002,0.8799219572000001
s3_XRDS,Chicken,Chicken Mandarin Orange with Sauce,Mandarin Orange with Sauce,No,2,1,-1,3.0729999999999995,1.5364999999999998,0,0,3.0797268501999997,1.5398634250999998
s3_XRDS,Chicken,Chicken Thigh Bone In,Thigh Bone In,No,2,3,1,0.705,1.0574999999999999,0,0,2.199804893,3.2997073395000003
s3_XRDS,Chicken,Chicken Thigh Boneless,Thigh Boneless,No,2,1,-1,0.9801999999999998,0.4900999999999999,0,0,2.55177367588,1.27588683794
s3_XRDS,Chicken,Chicken Diced Dark Meat HALAL,Diced Dark Meat HALAL,No,1,1,0,0.6916,0.6916,0,0,0.8359258593400001,0.8359258593400001
s3_XRDS,Chicken,Chicken Pulled Precooked,Pulled Precooked,No,1,1,0,0.9792,0.9792,0,0,1.05590634864,1.05590634864
s3_XRDS,Chicken,Chicken Tempura,Tempura,No,1,1,0,0.65,0.65,0,0,0.8799219572000001,0.8799219572000001
s3_XRDS,Fish,Rockfish Fillet,Rock Fillet,Yes,5,7,2,8.7666,12.273240000000001,8.7666,12.273240000000001,5.6769535730400005,7.947735002256
