ingredient,category,percent_dish_meat,meat_price_per_dish,expected_lb_meat_portion,oz_meat_per_dish,conventional_price_lb,sustainable_price_lb,default_sus,portion_size_oz,expected_portions,planned_weight_lbs,cost_recipe_per_portion,conventional_ghg_per_lb,baseline_freq,default_sus_clean,sus_flag,price_lb,cost_per_appearance,sus_cost_per_appearance,conv_cost_per_appearance,ghg_per_appearance,shortened_ingredient,freq_baseline,freq_opt_s1_cafe3,delta_s1_cafe3,opt_cost_contribution_s1_cafe3,opt_sus_spend_contribution_s1_cafe3,opt_conv_spend_contribution_s1_cafe3,opt_ghg_contribution_s1_cafe3,freq_opt_s6_cafe3,delta_s6_cafe3,opt_cost_contribution_s6_cafe3,opt_sus_spend_contribution_s6_cafe3,opt_conv_spend_contribution_s6_cafe3,opt_ghg_contribution_s6_cafe3,baseline_cost_contribution,baseline_sus_spend_contribution,baseline_conv_spend_contribution,baseline_ghg_contribution
Beef Ground HALAL,Beef,0.5633333333333334,0.5766666666666667,0.16111111111111112,2.5411111111111113,3.61,0,No,4.902222222222222,1018.2222222222222,332.5777777777778,0.9155555555555556,41.34628634,9,no,0,3.61,0.5816111111111111,0,0.5816111111111111,6.661346132555556,Ground HALAL,9,5,-4,2.9080555555555554,0,2.9080555555555554,33.30673066277778,5,-4,2.9080555555555554,0,2.9080555555555554,33.30673066277778,5.2345,0,5.2345,59.952115193000004
Beef Sirloin Philly Sliced HALAL,Beef,0.7999999999999999,1.5266666666666666,0.18,2.9,NA,8.43,Yes,3.6466666666666665,1816.6666666666667,410.30333333333334,1.6133333333333333,41.34628634,3,yes,1,8.43,1.5173999999999999,1.5173999999999999,0,7.4423315412,Sirloin Philly Sliced HALAL,3,3,0,4.552199999999999,4.552199999999999,0,22.3269946236,3,0,4.552199999999999,4.552199999999999,0,22.3269946236,4.552199999999999,4.552199999999999,0,22.3269946236
Beef Stew Cut,Beef,0.36,1.11,0.12,2,8.92,NA,No,5.49,1200,411.63,1.06,41.34628634,1,no,0,8.92,1.0704,0,1.0704,4.9615543608,Stew Cut,1,1,0,1.0704,0,1.0704,4.9615543608,1,0,1.0704,0,1.0704,4.9615543608,1.0704,0,1.0704,4.9615543608
Beef Stew Cut (HS) Halal,Beef,0.66,2.02,0.24,3.84,NA,8.43,Yes,5.8,750,272.07,2.83,41.34628634,2,yes,1,8.43,2.0231999999999997,2.0231999999999997,0,9.9231087216,Stew Cut (HS) Halal,2,1,-1,2.0231999999999997,2.0231999999999997,0,9.9231087216,2,0,4.046399999999999,4.046399999999999,0,19.8462174432,4.046399999999999,4.046399999999999,0,19.8462174432
Beef Stir-Fry Cut (HS) Halal,Beef,0.6075,1.1325,0.1375,2.1525,NA,8.43,Yes,3.5425,1698.25,369.37,1.41875,41.34628634,8,yes,1,8.43,1.159125,1.159125,0,5.68511437175,Stir-Fry Cut (HS) Halal,8,10,2,11.591249999999999,11.591249999999999,0,56.8511437175,12,4,13.9095,13.9095,0,68.221372461,9.273,9.273,0,45.480914974
Beef Tri Tip HALAL,Beef,0.81,0.04,0.2,3.2,0.2,NA,No,3.97,1300,322.8,0.12,41.34628634,1,no,0,0.2,0.04000000000000001,0,0.04000000000000001,8.269257268,Tri Tip HALAL,1,1,0,0.04000000000000001,0,0.04000000000000001,8.269257268,1,0,0.04000000000000001,0,0.04000000000000001,8.269257268,0.04000000000000001,0,0.04000000000000001,8.269257268
Chicken 8 Cut HALAL,Chicken,0.894,0.63,0.24,3.84,NA,2.62,Yes,4.308,1310,352.29,0.817,4.399609786,10,yes,1,2.62,0.6288,0.6288,0,1.05590634864,8 Cut HALAL,10,15,5,9.432,9.432,0,15.8385952296,15,5,9.432,9.432,0,15.8385952296,6.288,6.288,0,10.5590634864
Chicken Breast B/S Raw (HS) HALAL,Chicken,0.95,1.21,0.3,4.73,4.09,NA,No,5,1200,375,1.35,4.399609786,1,no,0,4.09,1.2269999999999999,0,1.2269999999999999,1.3198829358,Breast B/S Raw (HS) HALAL,1,1,0,1.2269999999999999,0,1.2269999999999999,1.3198829358,1,0,1.2269999999999999,0,1.2269999999999999,1.3198829358,1.2269999999999999,0,1.2269999999999999,1.3198829358
Chicken Breast B/S Raw HALAL,Chicken,0.5875,0.395,0.1925,3.0425,2.96,2.09,Yes,5.8475,1001.25,348.7425,1.6099999999999999,4.399609786,4,yes,1,2.09,0.402325,0.402325,0,0.8469248838050001,Breast B/S Raw HALAL,4,6,2,2.41395,2.41395,0,5.08154930283,6,2,2.41395,2.41395,0,5.08154930283,1.6093,1.6093,0,3.3876995352200003
Chicken Breast Fajita Cut HALAL,Chicken,0.49,0.64,0.2,3.22,3.19,NA,No,6.6,1500,619.2,1.1,4.399609786,2,no,0,3.19,0.638,0,0.638,0.8799219572000001,Breast Fajita Cut HALAL,2,1,-1,0.638,0,0.638,0.8799219572000001,1,-1,0.638,0,0.638,0.8799219572000001,1.276,0,1.276,1.7598439144000002
