"ingredient","category","percent_dish_meat","meat_price_per_dish","expected_lb_meat_portion","oz_meat_per_dish","conventional_price_lb","sustainable_price_lb","default_sus","portion_size_oz","expected_portions","planned_weight_lbs","cost_recipe_per_portion","conventional_ghg_per_lb","baseline_freq","freq_baseline","freq_opt_s6_cafe3","delta_s6_cafe3","baseline_cost_contribution","opt_cost_contribution_s6_cafe3","baseline_sus_spend_contribution","opt_sus_spend_contribution_s6_cafe3","baseline_ghg_contribution","opt_ghg_contribution_s6_cafe3"
"Beef Ground HALAL","Beef",0.563333333333333,0.576666666666667,0.161111111111111,2.54111111111111,3.61,0,"No",4.90222222222222,1018.22222222222,332.577777777778,0.915555555555556,41.34628634,9,9,5,-4,5.2345,2.90805555555556,0,0,59.952115193,33.3067306627778
"Beef Sirloin Philly Sliced HALAL","Beef",0.8,1.52666666666667,0.18,2.9,NA,8.43,"Yes",3.64666666666667,1816.66666666667,410.303333333333,1.61333333333333,41.34628634,3,3,3,0,4.5522,4.5522,4.5522,4.5522,22.3269946236,22.3269946236
"Beef Stew Cut","Beef",0.36,1.11,0.12,2,8.92,NA,"No",5.49,1200,411.63,1.06,41.34628634,1,1,1,0,1.0704,1.0704,0,0,4.9615543608,4.9615543608
"Beef Stew Cut (HS) Halal","Beef",0.66,2.02,0.24,3.84,NA,8.43,"Yes",5.8,750,272.07,2.83,41.34628634,2,2,1,-1,4.0464,2.0232,4.0464,2.0232,19.8462174432,9.9231087216
"Beef Stir-Fry Cut (HS) Halal","Beef",0.6075,1.1325,0.1375,2.1525,NA,8.43,"Yes",3.5425,1698.25,369.37,1.41875,41.34628634,8,8,12,4,9.273,13.9095,9.273,13.9095,45.480914974,68.221372461
"Beef Tri Tip HALAL","Beef",0.81,0.04,0.2,3.2,0.2,NA,"No",3.97,1300,322.8,0.12,41.34628634,1,1,1,0,0.04,0.04,0,0,8.269257268,8.269257268
"Chicken 8 Cut HALAL","Chicken",0.894,0.63,0.24,3.84,NA,2.62,"Yes",4.308,1310,352.29,0.817,4.399609786,10,10,15,5,6.288,9.432,6.288,9.432,10.5590634864,15.8385952296
"Chicken Breast B/S Raw (HS) HALAL","Chicken",0.95,1.21,0.3,4.73,4.09,NA,"No",5,1200,375,1.35,4.399609786,1,1,1,0,1.227,1.227,0,0,1.3198829358,1.3198829358
"Chicken Breast B/S Raw HALAL","Chicken",0.5875,0.395,0.1925,3.0425,2.96,2.09,"Yes",5.8475,1001.25,348.7425,1.61,4.399609786,4,4,6,2,1.6093,2.41395,1.6093,2.41395,3.38769953522,5.08154930283
"Chicken Breast Fajita Cut HALAL","Chicken",0.49,0.64,0.2,3.22,3.19,NA,"No",6.6,1500,619.2,1.1,4.399609786,2,2,2,0,1.276,1.276,0,0,1.7598439144,1.7598439144
"Chicken Diced Dark Meat HALAL","Chicken",0.486,0.682,0.188,3.008,3.64,NA,"No",6.202,1307.8,498.404,1.354,4.399609786,5,5,3,-2,3.4216,2.05296,0,0,4.13563319884,2.481379919304
"Chicken Tenderloin Breaded (HS) Halal","Chicken",0.96,1.16,0.25,4.04,4.6,NA,"No",4.22,1708,450.1,1.17,4.399609786,2,2,1,-1,2.3,1.15,0,0,2.199804893,1.0999024465
"Chicken Thigh (HS) HALAL","Chicken",0.82,0.95,0.24,3.84,3.98,NA,"No",4.67,1400,408.73,1.22,4.399609786,1,1,1,0,0.9552,0.9552,0,0,1.05590634864,1.05590634864
"Chicken Thigh Bone In","Chicken",0.81,0.34,0.24,3.84,1.41,3.59,"No",4.77,1400,417.27,0.49,4.399609786,1,1,1,0,0.3384,0.3384,0,0,1.05590634864,1.05590634864
"Chicken Thigh Bone In HALAL","Chicken",0.84,0.32,0.225,3.64,1.41,NA,"No",4.32,1502.5,403.31,1.29,4.399609786,4,4,6,2,1.269,1.9035,0,0,3.9596488074,5.9394732111
"Chicken Thigh Boneless HALAL","Chicken",0.837647058823529,0.491764705882353,0.247058823529412,3.95294117647059,1.98,NA,"No",4.71470588235294,1228.94117647059,356.960588235294,1.52882352941176,4.399609786,17,17,15,-2,8.316,7.33764705882353,0,0,18.4783611012,16.3044362657647
"Cod Fillet","Fish",0.78,1.87,0.25,4,7.48,NA,"No",5.11,1000,319.68,1.89,4.979783836,2,2,1,-1,3.74,1.87,0,0,2.489891918,1.244945959
"Cod Fillet Breaded","Fish",0.86,2.48,0.25,4,9.91,NA,"No",4.68,1232,360.08,2.46,4.979783836,2,2,1,-1,4.955,2.4775,0,0,2.489891918,1.244945959
"Rockfish Fillet","Fish",0.66,1.93,0.25,4.02,6.9,7.69,"Yes",6.12,1000,382.71,2.165,4.979783836,2,2,1,-1,3.845,1.9225,3.845,1.9225,2.489891918,1.244945959
"Salmon Fillet Standard","Fish",0.886666666666667,1.99,0.24,3.84,NA,8.28,"Yes",4.38666666666667,1266.66666666667,342.506666666667,1.52,4.979783836,3,3,3,0,5.9616,5.9616,5.9616,5.9616,3.58544436192,3.58544436192
