Product,Product_code,Quantity_sales_batch_unit,Price_excl_vat_per_sales_unit,Quantity_base_unit,Price_excl_vat_per_base_unit,Producer,Sustainable,Meat_certs,Supplier
Bass Strait Beef Steak Flank 32 LB AVG HALAL,,,,,,,,,
,2210SY,6.421 CS,$263.680 / CS,205.470 lb,$8.240 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
BEEF BARBACOA,,,,,,,,,
,0934257,173.000 CS,$139.150 / CS,"3,460.000 lb",$6.958 / lb,,No,,Sysco Food Services Inc
,0934257,132.000 CS,$139.160 / CS,"2,640.000 lb",$6.958 / lb,,No,,Sysco Food Services Inc
Beef Brisket Creekstone 60 LB AVG HALAL,,,,,,,,,
,50785,5.549 CS,$300.600 / CS,332.900 LB,$5.010 / LB,Creekstone Naturals,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
,50785,4.831 CS,$407.400 / CS,289.850 LB,$6.790 / LB,Creekstone Naturals,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
Beef Brisket Greenham Bass Strait 60 LB AVG HALAL,,,,,,,,,
,2350SY,8.596 CS,$349.200 / CS,515.700 lb,$5.820 / lb,Greenham,,,Cream Co Meats
Beef Bulk Ground 5# Bag Cream Co. 20 LB AVG HALAL,,,,,,,,,
,6800,43.363 CS,$113.200 / CS,867.260 lb,$5.660 / lb,Cream Co*,,,Cream Co Meats
,6800,46.396 CS,$118.600 / CS,927.920 lb,$5.930 / lb,Cream Co*,,,Cream Co Meats
Beef Cab Brisket 120,,,,,,,,,
,00102355-01-003,0.000 lb,$4.960 / lb,0.000 lb,$4.960 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB BRISKET 120 5/9-11 LB CS,,,,,,,,,
,00102355-01-002,2.207 CS,$260.700 / CS,121.400 lb,$4.740 / lb,,,,Del Monte (Allen Brothers)
,00102355-01-002,2.180 CS,$266.750 / CS,119.900 lb,$4.850 / lb,,,,Del Monte (Allen Brothers)
,00102355-01-002,1.420 CS,$284.900 / CS,78.100 lb,$5.180 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB CHK FLAT BNLS 3/14-18 LB CS,,,,,,,,,
,00102175-01-002,3.329 CS,$465.630 / CS,169.800 lb,$9.130 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,2.184 CS,$467.670 / CS,111.400 lb,$9.170 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,2.167 CS,$470.220 / CS,110.500 lb,$9.220 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,3.492 CS,$476.850 / CS,178.100 lb,$9.350 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,2.086 CS,$496.740 / CS,106.400 lb,$9.740 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,3.049 CS,$548.250 / CS,155.500 lb,$10.750 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,1.986 CS,$568.140 / CS,101.300 lb,$11.140 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,2.290 CS,$573.240 / CS,116.800 lb,$11.240 / lb,,,,Del Monte (Allen Brothers)
,00102175-01-002,0.610 CS,$573.750 / CS,31.120 lb,$11.250 / lb,,,,Del Monte (Allen Brothers)
"BEEF CAB CRND BRISKET CKD 3-4/9-13 LB CS (3-4 PC PER, 35-40 LB CS)",,,,,,,,,
,00624200-01-002,8.688 CS,$368.000 / CS,347.520 lb,$9.200 / lb,,,,Del Monte (Allen Brothers)
Beef Cab Crnd Brisket Rw 20%,,,,,,,,,
,00624195-01-003,0.000 CS,$108.180 / CS,0.000 lb,$6.010 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB CRND BRISKET RW 20% 1/16-18 LB CS,,,,,,,,,
,00624195-01-002,12.149 CS,$112.500 / CS,218.680 lb,$6.250 / lb,,,,Del Monte (Allen Brothers)
