"Ingredient","Category","Percent_dish_meat","meat_price_per_dish","Expected_lb_meat_portion","oz_meat_per_dish","Conventional_price_lb","Sustainable_price_lb","Default_sus","portion_size_oz","Expected_portions","planned_weight_lbs","cost_recipe_per_portion","Conventional_GHG_per_lb","Baseline_freq","freq_opt_s1v2.2","delta_s1v2.2","freq_baseline","freq_opt_s1v2_2","delta_s1v2_2"
"Beef Stir-Fry Cut (HS) Halal","Beef",0.63,1.05,0.13,2,0,8.43," Yes ",3.18,"2,400.00",477.3,1.35,41.34628634,14,17,3,14,17,3
"Beef Ground HALAL","Beef",0.35,0.48,0.13,2.13,3.61,0," No ",6.13,"2,000.00",766.64,0.86,41.34628634,12,15,3,12,15,3
"Beef Sirloin Philly Sliced HALAL","Beef",0.82,1.29,0.15,2.45,0,8.43," Yes ",3,"2,000.00",375,0.49,41.34628634,6,6,0,6,6,0
"Beef Stew Cut","Beef",0.58,2.14,0.24,3.84,8.92,0," No ",6.63,"1,800.00",746.2,2.5,41.34628634,8,2,-6,8,2,-6
"Beef Tri Tip HALAL","Beef",0.88,0.05,0.24,3.84,0.2,0," No ",4.37,"1,700.00",463.8,0.1,41.34628634,2,2,0,2,2,0
"Beef Barbacoa Precooked","Beef",1,1.79,0.25,4,7.16,0," No ",4,"1,600.00",400,1.74,41.34628634,4,1,-3,4,1,-3
"Beef Meatball Precooked","Beef",0.64,1.46,0.26,4.14,5.64,0," No ",6.5,"1,200.00",487.5,1.54,41.34628634,5,2,-3,5,2,-3
"Beef Chicken Fried","Beef",0.75,0.08,0.24,3.84,0.35,0," No ",5.15,"1,200.00",386.4,1.58,41.34628634,4,5,1,4,5,1
"Beef Sirloin Stir-Fry Cut","Beef",0.33,0.85,0.1,1.63,8.35,0," No ",5,"1,100.00",343.75,1.28,41.34628634,6,7,1,6,7,1
"Beef Stew Cut (HS) Halal","Beef",0.66,2.02,0.24,3.84,0,8.43," Yes ",5.8,"750.00",272.07,2.71,41.34628634,2,1,-1,2,1,-1
"Beef Brisket Whole HALAL","Beef",0.85,1.34,0.24,3.84,0,5.6," Yes ",4.52,"665.00",187.73,1.3,41.34628634,1,1,0,1,1,0
"Beef Carne Asada Diced 1/4 Fully Cooked","Beef",1,1.61,0.19,3.04,8.46,0," No ",3.04,"632.00",120.08,NA,41.34628634,2,1,-1,2,1,-1
"Beef Stew Cut KOSHER","Beef",0.81,2.78,0.25,4.05,10.99,0," No ",5,"400.00",125,3.37,41.34628634,1,1,0,1,1,0
"Chicken Thigh Bone In HALAL","Chicken",0.84,0.28,0.2,3.2,1.41,0," No ",3.79,"2,000.00",474.31,1.36,4.399609786,12,15,3,12,15,3
"Chicken Diced Dark Meat HALAL","Chicken",0.44,0.58,0.16,2.56,3.64,0," No ",5.84,"1,880.00",686.06,1.75,4.399609786,8,10,2,8,10,2
"Chicken Tenderloin Breaded (HS) Halal","Chicken",0.96,1.16,0.25,4.04,4.6,0," No ",4.22,"1,708.00",450.1,1.17,4.399609786,2,2,0,2,2,0
