"Ingredient","Category","Percent_dish_meat","meat_price_per_dish","Expected_lb_meat_portion","oz_meat_per_dish","Conventional_price_lb","Sustainable_price_lb","Default_sus","portion_size_oz","Expected_portions","planned_weight_lbs","cost_recipe_per_portion","Conventional_GHG_per_lb","Baseline_freq","freq_opt_s4v2","delta_s4v2","freq_baseline","freq_opt_s4v2_2","baseline_cost_contribution","opt_cost_contribution_s4v2","baseline_sus_spend_contribution","opt_sus_spend_contribution_s4v2","baseline_ghg_contribution","opt_ghg_contribution_s4v2"
"Beef Stir-Fry Cut (HS) Halal","Beef",0.63,1.05,0.13,2,0,8.43," Yes ",3.18,"2,400.00",477.3,1.35,41.34628634,14,21,7,14,21,15.3426,23.0139,15.3426,23.0139,75.2502411388,112.8753617082
"Beef Ground HALAL","Beef",0.35,0.48,0.13,2.13,3.61,0," No ",6.13,"2,000.00",766.64,0.86,41.34628634,12,6,-6,12,6,5.6316,2.8158,0,0,64.5002066904,32.2501033452
"Beef Sirloin Philly Sliced HALAL","Beef",0.82,1.29,0.15,2.45,0,8.43," Yes ",3,"2,000.00",375,0.49,41.34628634,6,9,3,6,9,7.587,11.3805,7.587,11.3805,37.211657706,55.817486559
"Beef Stew Cut","Beef",0.58,2.14,0.24,3.84,8.92,0," No ",6.63,"1,800.00",746.2,2.5,41.34628634,8,4,-4,8,4,17.1264,8.5632,0,0,79.3848697728,39.6924348864
"Beef Tri Tip HALAL","Beef",0.88,0.05,0.24,3.84,0.2,0," No ",4.37,"1,700.00",463.8,0.1,41.34628634,2,3,1,2,3,0.096,0.144,0,0,19.8462174432,29.7693261648
"Beef Barbacoa Precooked","Beef",1,1.79,0.25,4,7.16,0," No ",4,"1,600.00",400,1.74,41.34628634,4,2,-2,4,2,7.16,3.58,0,0,41.34628634,20.67314317
"Beef Meatball Precooked","Beef",0.64,1.46,0.26,4.14,5.64,0," No ",6.5,"1,200.00",487.5,1.54,41.34628634,5,3,-2,5,3,7.332,4.3992,0,0,53.750172242,32.2501033452
"Beef Chicken Fried","Beef",0.75,0.08,0.24,3.84,0.35,0," No ",5.15,"1,200.00",386.4,1.58,41.34628634,4,6,2,4,6,0.336,0.504,0,0,39.6924348864,59.5386523296
"Beef Sirloin Stir-Fry Cut","Beef",0.33,0.85,0.1,1.63,8.35,0," No ",5,"1,100.00",343.75,1.28,41.34628634,6,3,-3,6,3,5.01,2.505,0,0,24.807771804,12.403885902
"Beef Stew Cut (HS) Halal","Beef",0.66,2.02,0.24,3.84,0,8.43," Yes ",5.8,"750.00",272.07,2.71,41.34628634,2,1,-1,2,1,4.0464,2.0232,4.0464,2.0232,19.8462174432,9.9231087216
